Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DiscoverySuite,Chrome 69.0.3497.100,,2018-10-01 14:34:24,2018-10-01 14:34:46,22.492s,PASSED
,,,,,,
Test Cases/WorkspaceRegression,Chrome 69.0.3497.100,,2018-10-01 14:34:24,2018-10-01 14:34:37,13.003s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 14:34:25,2018-10-01 14:34:29,3.850s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 14:34:29,2018-10-01 14:34:34,4.580s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:34,2018-10-01 14:34:34,0.312s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:34,2018-10-01 14:34:36,1.563s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:36,2018-10-01 14:34:36,0.118s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:36,2018-10-01 14:34:36,0.108s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:36,2018-10-01 14:34:36,0.671s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 14:34:36,2018-10-01 14:34:37,0.217s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:37,2018-10-01 14:34:37,0.093s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-01 14:34:37,2018-10-01 14:34:37,0.063s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-01 14:34:37,2018-10-01 14:34:37,0.628s,PASSED
,,,,,,
Test Cases/SearchFunction,Chrome 69.0.3497.100,,2018-10-01 14:34:37,2018-10-01 14:34:46,8.789s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-01 14:34:38,2018-10-01 14:34:39,1.118s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-01 14:34:39,2018-10-01 14:34:42,3.655s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:42,2018-10-01 14:34:43,0.223s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-01 14:34:43,2018-10-01 14:34:44,1.311s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:44,2018-10-01 14:34:44,0.133s,PASSED
click,Chrome 69.0.3497.100,,2018-10-01 14:34:44,2018-10-01 14:34:46,1.547s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-01 14:34:46,2018-10-01 14:34:46,0.621s,PASSED
